titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media
花織さんは転生しても喧嘩がしたい,Hanaori-san wa Tensei Shite mo Kenka ga Shitai,Hanaori-san Still Wants to Fight in the Next Life,2026-07,2026,SUMMER 2026,1,,LIDENFILMS,Comedy | Romance | Supernatural,Seinen,TV,NOT_YET_RELEASED,2810,,
ぷにるはかわいいスライム 第2期,Puniru wa Kawaii Slime 2nd Season,Puniru is a Kawaii Slime Season 2,2025-07-06,2025,SUMMER 2025,1,12,TOHO animation STUDIO,Comedy | Fantasy | Romance | Slice of Life,Kids,TV,FINISHED,2802,70,71
ハミダシクリエイティブ,Hamidashi Creative,,2024-10-04,2024,FALL 2024,1,12,Hayabusa Film,Romance,Unknown,TV_SHORT,FINISHED,2777,52,53
クラシック★スターズ,CLASSIC★STARS,Classic★Stars,2025-04-06,2025,SPRING 2025,1,13,Platinum Vision,Music,Unknown,TV,FINISHED,2760,50,51
チェンソー びより,Chainsaw Biyori,Chainsaw Days,2025-09-05,2025,SUMMER 2025,1,5,MAPPA,Comedy | Slice of Life,Unknown,ONA,FINISHED,2727,72,74
アンドロイドは経験人数に入りますか？？ 5日間続けて……？,Android wa Keiken Ninzuu ni Hairimasu ka??: 5-kakan Tsuzukete......?,Does it Count if You Lose Your Innocence to an Android?: Five Days Running...?,2026-03-07,2026,WINTER 2026,1,1,Nyan Pollution-ω-,Comedy | Ecchi | Romance | Sci-Fi,Unknown,ONA,FINISHED,2726,61,62
川越ボーイズ・シング,Kawagoe Boys Sing,KAWAGOE BOYS SING -Now or Never-,2023-10-09,2023,FALL 2023,1,12,evg | Telecom Animation Film,Comedy | Music,Unknown,TV,FINISHED,2718,49,50
ヒロイン？聖女？いいえ、オールワークスメイドです（誇）！,"Heroine? Seijo? Iie, All Works Maid desu (Ko)!","Heroine? Saint? No, I’m an All-Works Maid (And Proud of It)!",2026-07,2026,SUMMER 2026,1,,EMT Squared,Comedy | Fantasy,Unknown,TV,NOT_YET_RELEASED,2709,,
手札が多めのビクトリア,Tefuda ga Oume no Victoria,,2026-07,2026,SUMMER 2026,1,,Studio DEEN,Action | Drama | Fantasy | Romance,Josei,TV,NOT_YET_RELEASED,2708,,
目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい,"Mezametara Saikyou Soubi to Uchuusen-mochi datta node, Ikkodate Mezashite Youhei to shite Jiyuu ni Ikitai",Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,2026-10,2026,FALL 2026,1,,studio A-CAT,Action | Comedy | Drama | Mecha | Romance | Sci-Fi,Unknown,TV,NOT_YET_RELEASED,2693,,
新テニスの王子様 U-17 WORLD CUP SEMIFINAL,Shin Tennis no Ouji-sama: U-17 WORLD CUP SEMIFINAL,The Prince of Tennis II U-17 World Cup Semifinal,2024-10-03,2024,FALL 2024,2,13,M.S.C,Action | Comedy | Sports,Shounen,TV,FINISHED,2679,62,64
ひみつのアイプリ,Himitsu no AiPri,,2024-04-07,2024,SPRING 2024,2,51,Dongwoo Animation | OLM,Music | Slice of Life,Kids,TV,FINISHED,2648,65,68
MAKE MY DAY,MAKE MY DAY,MAKE MY DAY,2023-02-02,2023,WINTER 2023,1,8,5 Inc.,Horror | Sci-Fi | Thriller,Unknown,ONA,FINISHED,2639,52,53
イチゴ哀歌～雑で生イキな妹と割り切れない兄～,Ichigo Aika: Zatsu de Namaiki na Imouto to Warikirenai Ani,Ichigo Aika: Strawberry Elegy,2026-01-05,2026,WINTER 2026,1,12,Studio Houkiboshi,Comedy | Ecchi | Romance,Unknown,ONA,FINISHED,2634,55,57
ルパン三世VSキャッツ・アイ,Lupin III VS Cat's Eye,LUPIN THE 3rd vs. CAT’S EYE,2023-01-27,2023,WINTER 2023,1,1,TMS Entertainment,Action | Adventure | Comedy | Mystery,Unknown,ONA,FINISHED,2613,65,66
Journey to Bloom,Journey to Bloom,Journey to Bloom,2023-09-30,2023,FALL 2023,1,5,Unknown,Drama | Music,Unknown,ONA,FINISHED,2582,70,72
斗罗大陆2绝世唐门,Douluo Dalu 2: Jueshi Tangmen,Soul Land 2: The Peerless Tang Clan,2023-06-24,2023,,1,156,Sparkly Key Animation,Action | Adventure | Fantasy | Romance,Unknown,ONA,RELEASING,2563,76,81
Fate/Grand Order 藤丸立香はわからない,Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,Fate/Grand Order: You've Lost Ritsuka Fujimaru,2023-02-04,2023,WINTER 2023,1,33,DLE,Comedy,Unknown,TV_SHORT,FINISHED,2557,68,70
よあそびぐらしっ！,Yoasobi Gurashi!,Yoasobi Gurashi!,2024-07-08,2024,SUMMER 2024,1,8,Studio Houkiboshi,Drama | Ecchi | Romance,Unknown,ONA,FINISHED,2550,62,64
凶乱令嬢ニア・リストン,Kyouran Reijou Nia Liston,,2026-10,2026,FALL 2026,1,,KONAMI animation,Fantasy,Unknown,TV,NOT_YET_RELEASED,2539,,
想星のアクエリオン Myth of Emotions,Sousei no Aquarion: Myth of Emotions,AQUARION: Myth of Emotions,2025-01-10,2025,WINTER 2025,1,12,Satelight,Action | Fantasy | Mecha | Mystery | Sci-Fi,Unknown,TV,FINISHED,2533,51,52
おでかけ子ザメ,Odekake Kozame,Little Shark's Day Out,2023-08-01,2023,SUMMER 2023,1,60,ENGI,Slice of Life,Kids,ONA,FINISHED,2525,70,72
FX戦士くるみちゃん,FX Senshi Kurumi-chan,,2026,2026,,1,,Passione,Drama | Slice of Life,Unknown,TV,NOT_YET_RELEASED,2506,,
Yu-Gi-Oh! CARD GAME THE CHRONICLES,Yu-Gi-Oh! CARD GAME: THE CHRONICLES,,2024-02-03,2024,WINTER 2024,1,1,KONAMI animation,Action | Fantasy,Unknown,ONA,FINISHED,2482,72,74
幻日のリムル -SUNSHINE in the SLIME-,Genjitsu no Rimuru: SUNSHINE in the SLIME,,2023-06-21,2023,SPRING 2023,1,2,YOYOmiracle,Comedy | Fantasy,Unknown,ONA,FINISHED,2463,56,57
オーイ! とんぼ 第2期,Ooi! Tonbo 2nd Season,Tonbo! Season 2,2024-10-05,2024,FALL 2024,1,13,OLM,Drama | Sports,Unknown,TV,FINISHED,2455,70,72
天官賜福 短片,Tian Guan Ci Fu Short Film,,2025-02-12,2025,,1,,Red Dog Culture House,Action | Adventure | Drama | Fantasy,Unknown,ONA,RELEASING,2433,82,87
アイドルマスター シャイニーカラーズ 2nd season,The iDOLM@STER: Shiny Colors 2nd season,THE iDOLM@Ster SHINY COLORS Season 2,2024-10-05,2024,FALL 2024,1,12,POLYGON PICTURES,Music,Unknown,TV,FINISHED,2404,59,61
테러맨,Terror Man,,2026-01-29,2026,,1,8,DR Movie,Action | Psychological,Unknown,ONA,FINISHED,2393,55,63
逃走中 グレートミッション,Tousouchuu: The Great Mission,,2023-04-02,2023,SPRING 2023,1,97,Unknown,Action | Adventure | Sci-Fi | Supernatural,Unknown,TV,FINISHED,2390,50,51
マジカル★エクスプローラー　エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる,"Magical★Explorer: Eroge no Yuujin Chara ni Tensei Shitakedo, Game Chishiki Tsukatte Jiyuu ni Ikiru",,2026,2026,FALL 2026,1,,WHITE FOX,Adventure | Ecchi | Fantasy | Romance,Unknown,TV,NOT_YET_RELEASED,2389,,
ガンダムビルドメタバース,GUNDAM BUILD METAVERSE,GUNDAM BUILD METAVERSE,2023-10-06,2023,FALL 2023,1,3,Sunrise Beyond,Action | Mecha | Sci-Fi,Unknown,ONA,FINISHED,2375,53,54
闇芝居 十一期,Yami Shibai 11,Theatre of Darkness: Yamishibai 11,2023-07-10,2023,SUMMER 2023,2,13,ILCA | yell,Horror | Supernatural,Unknown,TV_SHORT,FINISHED,2374,53,54
百姓貴族,Hyakushou Kizoku,Hyakusho Kizoku-the farmer's days,2023-07-07,2023,SUMMER 2023,1,12,Pie in the sky,Comedy | Slice of Life,Shoujo,TV_SHORT,FINISHED,2355,64,66
记忆管理局,Jiyi Guanli Ju,,2026,2026,,1,,Studio Tumble | Flint Sugar,Action | Mystery | Psychological,Unknown,ONA,NOT_YET_RELEASED,2333,,
鬼の花嫁 ,Oni no Hanayome,,2026-07,2026,SUMMER 2026,1,,Colored Pencil Animation Japan,Drama | Fantasy | Romance,Shoujo,TV,NOT_YET_RELEASED,2330,,
カイリューとゆうびんやさん,Kairyuu to Yuubinya-san,Dragonite and the Special Delivery,2025-02-27,2025,WINTER 2025,1,1,CoMix Wave,Adventure | Fantasy | Slice of Life,Unknown,ONA,FINISHED,2288,75,77
请叫我诡差大人,Qing Jiao Wo Gui Chai Da Ren,,2026,2026,,1,,Big Firebird Cultural Media,Action | Horror | Mystery | Supernatural,Unknown,ONA,NOT_YET_RELEASED,2255,,
じゃんたま カン！！,Jongtama Kan!!,Mahjong Soul KAN!!,2024-04-25,2024,SPRING 2024,1,13,Alke,Comedy,Unknown,ONA,FINISHED,2250,55,56
最推しの義兄を愛でるため、長生きします！,"Saioshi no Gikei Mederu Tame, Nagaikishimasu!",I'll Live a Long Life to Dote on My Favorite Stepbrother!,2026-01-03,2026,WINTER 2026,1,12,Imageworks Studio | Imagica Infos,Fantasy | Romance,Unknown,ONA,FINISHED,2231,50,51
おそ松さん 第4期,Osomatsu-san 4th Season,Mr. Osomatsu 4th season,2025-07-09,2025,SUMMER 2025,1,13,PIERROT FILMS,Comedy | Sci-Fi | Slice of Life,Unknown,TV,FINISHED,2219,57,60
無自覚聖女は今日も無意識に力を垂れ流す,Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,,2026-07,2026,SUMMER 2026,1,,Magic Bus | Picante Circus,Drama | Fantasy | Romance,Unknown,TV,NOT_YET_RELEASED,2194,,
ULTRAMAN FINAL,ULTRAMAN FINAL,ULTRAMAN: The Final Season,2023-05-11,2023,SPRING 2023,1,12,Production I.G | Sola Digital Arts,Action | Drama | Sci-Fi,Seinen,ONA,FINISHED,2189,69,71
塩対応の佐藤さんが俺にだけ甘い,Shiotaiou no Satou-san ga Ore ni dake Amai,,2026,2026,,1,,Tezuka Productions,Comedy | Romance,Unknown,TV,NOT_YET_RELEASED,2174,,
猫猫のひとりごと 第2期,Maomao no Hitorigoto 2nd Season,,2025-01-13,2025,WINTER 2025,1,24,Unknown,Comedy,Unknown,ONA,FINISHED,2167,66,70
夜は猫といっしょSeason2,Yoru wa Neko to Issho Season 2,Nights with a Cat Season 2,2023-03-08,2023,SPRING 2023,2,30,Studio PuYUKAI,Comedy | Slice of Life,Unknown,ONA,FINISHED,2167,71,73
ChroNoiR Episode.0,ChroNoiR Episode.0,,2023-07-28,2023,SUMMER 2023,1,1,A-1 Pictures,Action | Fantasy | Supernatural,Unknown,ONA,FINISHED,2147,66,69
監禁区域レベルX,Kankin Kuiki Level X,Lockdown Zone: Level X,2024-09-07,2024,FALL 2024,2,6,Imagica Infos | Imageworks Studio,Horror | Mystery,Unknown,TV_SHORT,FINISHED,2141,59,61
Duel Masters LOST ～追憶の水晶～,Duel Masters LOST:  Tsuioku no Suishou,,2024-10-04,2024,FALL 2024,2,4,J.C.STAFF,Adventure,Unknown,ONA,FINISHED,2127,56,61
カードファイト!! ヴァンガード Divinez,Cardfight!! Vanguard: Divinez,CARDFIGHT!! VANGUARD Divinez,2024-01-13,2024,WINTER 2024,2,13,Kinema Citrus | Gift-o’-Animation | Studio JEMI,Action | Adventure | Fantasy,Unknown,TV,FINISHED,2110,68,70
カードファイト!! ヴァンガード will+Dress Season2,Cardfight!! Vanguard: will+Dress Season 2,Cardfight!! Vanguard will+Dress Season 2,2023-01-14,2023,WINTER 2023,2,12,Kinema Citrus | Studio JEMI | Gift-o’-Animation,Action | Adventure,Unknown,TV,FINISHED,2105,63,65
アズールレーン びそくぜんしんっ！にっ！！,Azur Lane: Bisoku Zenshin! Ni!!,,2026-07-06,2026,SUMMER 2026,1,,studio CANDY BOX,Ecchi | Slice of Life,Unknown,TV,NOT_YET_RELEASED,2077,,
GAMERA -Rebirth-,GAMERA: Rebirth,GAMERA -Rebirth-,2023-09-07,2023,SUMMER 2023,1,6,ENGI,Action | Sci-Fi,Unknown,ONA,FINISHED,2069,60,62
元祖！バンドリちゃん,Ganso! Bandori-chan,GANSO! BanG Dream Chan,2025-10-02,2025,FALL 2025,1,52,AtoriE,Comedy | Music,Unknown,ONA,RELEASING,2058,66,72
제발 조용히 좀 해!,Jebal Joyonghi Jom Hae!,Quiet Please!,2025-09-02,2025,,1,5,LICO,Comedy | Romance,Unknown,ONA,FINISHED,2049,74,77
成何体统,Cheng He Titong,How Dare You!?,2024-06-14,2024,,2,24,Shengying Animation,Comedy | Romance,Unknown,ONA,FINISHED,2039,72,77
殿と犬,Tono to Inu,,2024-10-10,2024,FALL 2024,1,24,Live2D Creative Studio | OLM,Comedy | Slice of Life,Shoujo,TV_SHORT,FINISHED,2039,57,62
闇芝居 十二期,Yami Shibai 12,Theatre of Darkness: Yamishibai 12,2024-01-15,2024,WINTER 2024,2,13,Unknown,Horror | Supernatural,Unknown,TV_SHORT,FINISHED,2032,54,55
やたらやらしい深見くん,Yatara Yarashii Fukami-kun,Unexpectedly Naughty Fukami,2025-04-07,2025,SPRING 2025,1,8,Studio Houkiboshi,Comedy | Romance,Unknown,ONA,FINISHED,2031,63,66
モンスターストライク　デッドバースリローデッド,Monster Strike: Deadverse Reloaded,Strike World: Deadverse Reloaded the Anime,2025-10-21,2025,FALL 2025,1,10,Yumeta Company,Action | Fantasy,Unknown,TV,FINISHED,2016,49,53
絆のアリル セカンドシーズン,Kizuna no Allele Season 2,Kizuna no Allele 2nd Season,2023-10-05,2023,FALL 2023,1,12,WIT STUDIO | Signal.MD,Music | Slice of Life,Unknown,TV,FINISHED,2015,51,52
崩坏：星穹铁道 永劫轮舞,Benghuai: Xingqiong Tiedao - Donghua Duanpian Yong Jie Lun Wu,Honkai: Star Rail - Rondo Across Countless Kalpas,2024-03-19,2024,,1,1,miHoYo Anime,Fantasy | Mystery | Sci-Fi,Unknown,ONA,FINISHED,2008,81,84
斩神之凡尘神域,Zhan Shen: Fanchen Shen Yu,Slay The Gods,2024-07-31,2024,,2,15,Shenman Entertainment,Action | Fantasy,Unknown,ONA,FINISHED,1992,76,80
LUPIN THE IIIRD 銭形と2人のルパン,LUPIN THE IIIRD: Zenigata to Futari no Lupin,LUPIN THE IIIRD: Zenigata and the Two Lupins,2025-06-20,2025,SPRING 2025,1,1,Telecom Animation Film,Action | Adventure | Comedy | Mystery,Seinen,ONA,FINISHED,1987,72,74
UniteUp! -Uni:Birth-,UniteUp!: Uni:Birth,UniteUp! -Uni:Birth-,2025-01-11,2025,WINTER 2025,1,12,CloverWorks,Music,Unknown,TV,FINISHED,1984,63,66
KUROMI'S PRETTY JOURNEY,KUROMI'S PRETTY JOURNEY,KUROMI'S PRETTY JOURNEY,2023-02-17,2023,WINTER 2023,2,21,Qzil.la | IMAGICA DIGITALSCAPE,Adventure | Comedy,Kids,ONA,FINISHED,1978,63,65
子産み島 ～週7で産めるメスたち～,Koumi-jima: Shuu 7 de Umeru Mesu-tachi,,2023-02-17,2023,WINTER 2023,1,2,Seven,Hentai,Unknown,ONA,FINISHED,1978,61,63
生徒会にも穴はある！ PV,Seitokai ni mo Ana wa Aru! PV,,2024-07-09,2024,,1,1,Passione,Comedy | Slice of Life,Unknown,ONA,FINISHED,1974,70,72
집이 없어,Jibi Eopseo,No Home,2024-11-01,2024,,1,8,LICO,Comedy | Drama | Slice of Life | Supernatural,Unknown,TV_SHORT,FINISHED,1962,67,70
当て馬キャラのくせして、スパダリ王子に寵愛されています。,"Ateuma Chara no Kuse Shite, Supadari Ouji ni Chouai Sareteimasu.","The Perfect Prince Loves Me, the Side Character?!",2024-04-08,2024,SPRING 2024,1,8,Studio Houkiboshi,Fantasy | Hentai | Romance,Unknown,ONA,FINISHED,1952,55,56
「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,"""Kimi wo Aisuru Ki wa nai"" to Itta Jiki Koushaku-sama ga Naze ka Dekiai Shitekimasu",,2026-07,2026,SUMMER 2026,1,,Zero-G | Grass,Fantasy | Romance,Shoujo,TV,NOT_YET_RELEASED,1934,,
令和のダラさん,Reiwa no Dara-san,,2026-07,2026,SUMMER 2026,1,,Asahi Production,Comedy | Horror | Supernatural,Seinen,TV,NOT_YET_RELEASED,1907,,
葬送のフリーレン ～●●の魔法～ 3クール,Sousou no Frieren: ●● no Mahou Part 3,,2026-01-19,2026,WINTER 2026,1,,TOHO animation STUDIO,Comedy | Fantasy,Unknown,ONA,RELEASING,1871,68,74
しーくれっとみっしょん～潜入捜査官は絶対に負けない！～,Secret Mission: Sennyuu Sousakan wa Zettai ni Makenai!,Secret Mission - Undercover Agents Never Back Down!,2023-10-02,2023,FALL 2023,1,8,Rabbit Gate,Hentai,Unknown,ONA,FINISHED,1864,62,64
境界戦機 極鋼ノ装鬼,Kyoukai Senki: Kyokkou no Souki,AMAIM Warrior at the Borderline UltraSteel Ogre-Gear,2023-08-10,2023,SUMMER 2023,1,6,Sunrise Beyond,Fantasy | Mecha | Sci-Fi,Unknown,ONA,FINISHED,1857,51,53
イジらないで、長瀞さん 2nd Attack ミニアニメ,"Ijiranaide, Nagatoro-san 2nd Attack Mini Anime",,2023-01-08,2023,WINTER 2023,1,12,AQUA ARIS,Comedy | Romance | Slice of Life,Unknown,ONA,FINISHED,1856,57,59
いびってこない義母と義姉,Ibitte Konai Gibo to Gishi,,2026-07,2026,SUMMER 2026,1,,NEWON,Comedy | Slice of Life,Josei,TV,NOT_YET_RELEASED,1848,,
崩坏：星穹铁道 飞光,Benghuai: Xingqiong Tiedao - Fei Guang,Honkai: Star Rail - A Flash,2023-05-10,2023,,1,1,Fantasier Animation | miHoYo Anime,Action | Fantasy | Sci-Fi,Unknown,ONA,FINISHED,1843,75,78
花ざかりの君たちへ 第2期,Hanazakari no Kimitachi e 2nd Season,,2026-07-02,2026,SUMMER 2026,1,,Signal.MD,Comedy | Drama | Romance | Slice of Life,Shoujo,TV,NOT_YET_RELEASED,1842,,
B-PROJECT 熱烈＊ラブコール,B-PROJECT: Netsuretsu*Love Call,B-PROJECT Passion*Love Call,2023-10-02,2023,FALL 2023,1,12,Asahi Production,Music,Unknown,TV,FINISHED,1841,56,59
美男高校地球防衛部ハイカラ！,Binan Koukou Chikyuu Bouei-bu Haikara!,Cute High Earth Defense Club Hi-CARA!,2025-07-07,2025,SUMMER 2025,1,12,Studio DEEN,Comedy | Mahou Shoujo | Sci-Fi | Slice of Life,Unknown,TV,FINISHED,1814,54,59
ニートくノ一となぜか同棲はじめました OVAs,NEET Kunoichi to Naze ka Dousei Hajimemashita OVAs,,2025-03-29,2025,WINTER 2025,1,2,Quad,Comedy | Ecchi | Romance,Unknown,ONA,FINISHED,1804,60,62
全职法师特别篇之神秘委托,Quanzhi Fashi Special: Shenmi Weituo,,2024-08-16,2024,,1,6,Foch,Action | Fantasy,Unknown,ONA,FINISHED,1803,61,66
シャングリラ・フロンティア ミニアニメ,Shangri-La Frontier Mini Anime,,2023-09-28,2023,FALL 2023,1,9,Unknown,Comedy | Fantasy,Unknown,ONA,FINISHED,1800,61,63
バンドリ！ ゆめ∞みた,BanG Dream! Yume∞Mita,,2026-07-02,2026,SUMMER 2026,1,,NICHICALINE,Music,Unknown,TV,NOT_YET_RELEASED,1779,,
ハイスクール！奇面組 (2026),High School! Kimengumi (2026),High School! Kimengumi (2026),2026-01-09,2026,WINTER 2026,1,12,Seven,Comedy | Romance,Shounen,TV,FINISHED,1773,48,49
遮天,Zhe Tian,Shrouding the Heavens,2023-05-03,2023,,1,208,Original Force,Action | Adventure | Sci-Fi,Unknown,ONA,RELEASING,1769,72,79
あんさんぶるスターズ！！ 追憶セレクション「エレメント」,Ensemble Stars!!: Tsuioku Selection - Element,Ensemble Stars!! Reminiscences Selection ELEMENT,2023-04-06,2023,SPRING 2023,1,6,Dandelion Animation Studio,Drama | Music | Slice of Life,Unknown,ONA,FINISHED,1764,71,76
人妻の唇は缶チューハイの味がしてOVA,Hitozuma no Kuchibiru wa Kan Chu-Hi no Aji ga Shite OVA,Chuhai Lips: Canned Flavor of Married Women OVA,2025-08-27,2025,SUMMER 2025,1,1,Raiose,Comedy | Ecchi | Romance,Unknown,ONA,FINISHED,1763,54,55
華Doll*-Reinterpretation of Flowering-,HANA-Doll*: Reinterpretation of Flowering,,2025-04-09,2025,SPRING 2025,1,12,A-Real,Music | Mystery | Psychological,Unknown,TV,FINISHED,1761,49,53
全职高手4,Quanzhi Gaoshou 4,,2026,2026,,1,,Lingsanwu Animation,Action,Unknown,ONA,NOT_YET_RELEASED,1759,,
ヤキトリ,Yakitori,Yakitori: Soldiers of Misfortune,2023-05-18,2023,SPRING 2023,1,6,Arect,Action | Sci-Fi,Unknown,ONA,FINISHED,1759,60,61
希灵纪元,Xiling Jiyuan,Xyrin Empire,2023-04-07,2023,,1,16,Wawayu Animation,Sci-Fi,Unknown,ONA,FINISHED,1753,58,64
天体観測,Tentai Kansoku,,2023-03-20,2023,WINTER 2023,1,1,FLAT STUDIO,Music | Slice of Life,Unknown,ONA,FINISHED,1724,66,68
ばなにゃ あらうんど ざ わーるど,Bananya: Around the World,Bananya Around the World,2024-10-15,2024,FALL 2024,1,13,TMS Entertainment | Lesprit,Adventure | Comedy | Fantasy | Slice of Life,Kids,ONA,FINISHED,1716,65,67
崩坏：星穹铁道 玄黄,Benghuai: Xingqiong Tiedao - Xuanhuang,Honkai: Star Rail - Ichor of Two Dragons,2023-08-29,2023,,1,1,miHoYo Anime,Action | Adventure | Drama | Fantasy,Unknown,ONA,FINISHED,1712,75,78
吞噬星空 第四季,Tunshi Xingkong 4,,2023-10-03,2023,,1,175,Sparkly Key Animation,Action | Sci-Fi,Unknown,ONA,RELEASING,1699,80,86
闇芝居 十三期,Yami Shibai 13,Theatre of Darkness: Yamishibai 13,2024-07-15,2024,SUMMER 2024,2,13,ILCA,Horror | Supernatural,Unknown,TV_SHORT,FINISHED,1693,54,56
沧元图,Cang Yuan Tu,,2023-06-22,2023,,2,26,Shenman Entertainment,Action | Fantasy,Shounen,ONA,FINISHED,1685,75,80
カードファイト!! ヴァンガード will+Dress Season3,Cardfight!! Vanguard: will+Dress Season 3,Cardfight!! Vanguard will+Dress Season 3,2023-07-08,2023,SUMMER 2023,2,13,Kinema Citrus | Studio JEMI | Gift-o’-Animation,Action | Adventure,Unknown,TV,FINISHED,1661,62,64
どうも、好きな人に惚れ薬を依頼された魔女です。,"Doumo, Suki na Hito ni Horegusuri wo Irai Sareta Majo desu.",,2026,2026,,1,,Unknown,Fantasy | Romance,Josei,TV,NOT_YET_RELEASED,1647,,
プリンセスコネクト！ 導きの初花　- Fiore Storia -,Princess Connect! Michibiki no Hatsuhana: Fiore Storia,,2025-02-28,2025,WINTER 2025,1,1,G-angle,Action | Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,1643,63,68
捨てられ聖女の異世界ごはん旅 隠れスキルでキャンピングカーを召喚しました,Suterare Seijo no Isekai Gohantabi: Kakure Skill de Camping Car wo Shoukan Shimashita,,2026-07,2026,SUMMER 2026,1,,EMT Squared,Action | Adventure | Comedy | Fantasy,Unknown,TV,NOT_YET_RELEASED,1630,,
これ描いて死ね,Kore Kaite Shine,,2026-07-03,2026,SUMMER 2026,1,,Shin-Ei Animation,Comedy | Slice of Life,Unknown,TV,NOT_YET_RELEASED,1628,,
マーダーミステリー・オブ・ザ・デッド,Murder Mystery of the Dead,,2024-11-14,2024,FALL 2024,1,6,Unknown,Horror | Mystery | Thriller,Unknown,TV,FINISHED,1625,45,48
Re:ゼロから始める休憩時間(ブレイクタイム) 4th Season,Re:Zero kara Hajimeru Kyuukei Jikan (Break Time) 4th Season,,2026-04-08,2026,SPRING 2026,1,,Studio PuYUKAI,Adventure | Comedy | Fantasy,Unknown,ONA,RELEASING,1624,64,73
POKÉTOON (2024),POKÉTOON (2024),POKÉTOON (2024),2024-09-18,2024,,2,9,Studio Nanahoshi | Studio Colorido | ZEXCS | NAGOMI,Comedy | Fantasy | Slice of Life,Kids,ONA,FINISHED,1622,69,72
通灵妃 第二季,Tongling Fei 2,,2025-07-17,2025,,1,24,Shengying Animation,Comedy | Romance | Supernatural,Unknown,ONA,FINISHED,1616,58,65
ゾンビのあふれた世界で俺だけが襲われない,Zombie no Afureta Sekai de Ore dake ga Osowarenai,,2026,2026,,1,,Unknown,Action | Ecchi | Supernatural | Thriller,Unknown,TV,NOT_YET_RELEASED,1599,,
野原ひろし 昼メシの流儀,Nohara Hiroshi: Hiru Meshi no Ryuugi,Style of Hiroshi Nohara's Lunch,2025-10-03,2025,FALL 2025,1,12,DLE,Comedy | Slice of Life,Seinen,TV,FINISHED,1591,62,65
闇芝居 十四期,Yami Shibai 14,Theatre of Darkness: Yamishibai 14,2025-01-06,2025,WINTER 2025,2,13,ILCA,Horror | Supernatural,Unknown,TV_SHORT,FINISHED,1577,53,54
위험한 편의점,Wiheomhan Pyeonuijeom,The Dangerous Convenience Store,2025-05-30,2025,,1,2,Laftel,Comedy | Romance,Unknown,ONA,FINISHED,1574,64,68
ギルティホール,Guilty Hole,Guilty Hole ～ Room of Guilty Pleasure,2025-10-06,2025,FALL 2025,1,8,Studio Houkiboshi,Hentai,Unknown,ONA,FINISHED,1571,62,64
原神 燼中歌,Yuanshen: Jin Zhong Ge,Genshin Impact: The Song Burning in the Embers,2024-04-17,2024,,1,1,miHoYo Anime,Action | Drama | Fantasy,Unknown,ONA,FINISHED,1525,77,80
グロウアップショウ ～ひまわりのサーカス団～,Grow Up Show: Himawari no Circus-dan,GROW UP SHOW -Sunflower Circus-,2026-07,2026,SUMMER 2026,1,,A-1 Pictures | Psyde Kick Studio,,Unknown,TV,NOT_YET_RELEASED,1523,,
犬と少年,Inu to Shounen,The Dog & The Boy,2023-01-31,2023,WINTER 2023,1,1,WIT STUDIO | Production I.G | Netflix Anime Creators' Base,Adventure | Sci-Fi,Unknown,ONA,FINISHED,1506,46,46
ルリドラゴンPV,Ruri Dragon PV,,2025-03-03,2025,,1,1,Unknown,Comedy | Slice of Life | Supernatural,Unknown,ONA,FINISHED,1488,74,77
とーとつにエジプト神２,Toutotsu ni Egypt Shin 2,"Oh, Suddenly Egyptian God Season 2",2023-01-11,2023,WINTER 2023,1,10,TYPHOON GRAPHICS,Comedy | Fantasy | Slice of Life | Supernatural,Unknown,TV_SHORT,FINISHED,1487,63,65
うちの弟どもがすみません,Uchi no Otouto-domo ga Sumimasen,,2026-07-04,2026,SUMMER 2026,1,24,Lay-duce,Comedy | Romance | Slice of Life,Shoujo,TV,NOT_YET_RELEASED,1486,,
0歳児スタートダッシュ物語 シーズン2,0-saiji Start Dash Monogatari Season 2,HEAD START AT BIRTH - Season 2,2025-01-05,2025,WINTER 2025,1,12,Dai Nippon Printing,Fantasy,Shoujo,TV_SHORT,FINISHED,1482,51,52
黄金庭院：冬日里的新年愿望,Huangjin Tingyuan: Dong Ri Li De Xinnian Yuanwang,Golden Courtyard: New Year Wishes in Winter,2023-01-20,2023,,1,2,HuaMei Animation,Comedy | Slice of Life,Unknown,ONA,FINISHED,1472,73,76
シャドウバースF セブンシャドウズ編,Shadowverse Flame: Seven Shadows-hen,Shadowverse Flame: Seven Shadows Arc,2023-07-08,2023,SUMMER 2023,2,25,ZEXCS,Fantasy,Unknown,TV,FINISHED,1457,64,68
夫婦交歓～戻れない夜～,Fuufu Koukan: Modorenai Yoru,Married Couple Swap,2023-07-03,2023,SUMMER 2023,1,8,Studio Houkiboshi,Hentai,Unknown,ONA,FINISHED,1457,59,61
